OrderID,ProductID,UnitPrice,Quantity,Discount
10248.00,11.00,14.00,12.00,0.00
10248.00,42.00,9.80,10.00,0.00
10248.00,72.00,34.80,5.00,0.00
10249.00,14.00,18.60,9.00,0.00
10249.00,51.00,42.40,40.00,0.00
10250.00,41.00,7.70,10.00,0.00
10250.00,51.00,42.40,35.00,0.15
10250.00,65.00,16.80,15.00,0.15
10251.00,22.00,16.80,6.00,0.05
10251.00,57.00,15.60,15.00,0.05
10251.00,65.00,16.80,20.00,0.00
10252.00,20.00,64.80,40.00,0.05
10252.00,33.00,2.00,25.00,0.05
10252.00,60.00,27.20,40.00,0.00
10253.00,31.00,10.00,20.00,0.00
10253.00,39.00,14.40,42.00,0.00
10253.00,49.00,16.00,40.00,0.00
10254.00,24.00,3.60,15.00,0.15
10254.00,55.00,19.20,21.00,0.15
10254.00,74.00,8.00,21.00,0.00
10255.00,2.00,15.20,20.00,0.00
10255.00,16.00,13.90,35.00,0.00
10255.00,36.00,15.20,25.00,0.00
10255.00,59.00,44.00,30.00,0.00
10256.00,53.00,26.20,15.00,0.00
10256.00,77.00,10.40,12.00,0.00
10257.00,27.00,35.10,25.00,0.00
10257.00,39.00,14.40,6.00,0.00
10257.00,77.00,10.40,15.00,0.00
10258.00,2.00,15.20,50.00,0.20
10258.00,5.00,17.00,65.00,0.20
10258.00,32.00,25.60,6.00,0.20
10259.00,21.00,8.00,10.00,0.00
10259.00,37.00,20.80,1.00,0.00
10260.00,41.00,7.70,16.00,0.25
10260.00,57.00,15.60,50.00,0.00
10260.00,62.00,39.40,15.00,0.25
10260.00,70.00,12.00,21.00,0.25
10261.00,21.00,8.00,20.00,0.00
10261.00,35.00,14.40,20.00,0.00
10262.00,5.00,17.00,12.00,0.20
10262.00,7.00,24.00,15.00,0.00
10262.00,56.00,30.40,2.00,0.00
10263.00,16.00,13.90,60.00,0.25
10263.00,24.00,3.60,28.00,0.00
10263.00,30.00,20.70,60.00,0.25
10263.00,74.00,8.00,36.00,0.25
10264.00,2.00,15.20,35.00,0.00
10264.00,41.00,7.70,25.00,0.15
10265.00,17.00,31.20,30.00,0.00
10265.00,70.00,12.00,20.00,0.00
10266.00,12.00,30.40,12.00,0.05
10267.00,40.00,14.70,50.00,0.00
10267.00,59.00,44.00,70.00,0.15
10267.00,76.00,14.40,15.00,0.15
10268.00,29.00,99.00,10.00,0.00
10268.00,72.00,27.80,4.00,0.00
10269.00,33.00,2.00,60.00,0.05
10269.00,72.00,27.80,20.00,0.05
10270.00,36.00,15.20,30.00,0.00
10270.00,43.00,36.80,25.00,0.00
10271.00,33.00,2.00,24.00,0.00
10272.00,20.00,64.80,6.00,0.00
10272.00,31.00,10.00,40.00,0.00
10272.00,72.00,27.80,24.00,0.00
10273.00,10.00,24.80,24.00,0.05
10273.00,31.00,10.00,15.00,0.05
10273.00,33.00,2.00,20.00,0.00
10273.00,40.00,14.70,60.00,0.05
10273.00,76.00,14.40,33.00,0.05
10274.00,71.00,17.20,20.00,0.00
10274.00,72.00,27.80,7.00,0.00
10275.00,24.00,3.60,12.00,0.05
10275.00,59.00,44.00,6.00,0.05
10276.00,10.00,24.80,15.00,0.00
10276.00,13.00,4.80,10.00,0.00
10277.00,28.00,36.40,20.00,0.00
10277.00,62.00,39.40,12.00,0.00
10278.00,44.00,15.50,16.00,0.00
10278.00,59.00,44.00,15.00,0.00
10278.00,63.00,35.10,8.00,0.00
10278.00,73.00,12.00,25.00,0.00
10279.00,17.00,31.20,15.00,0.25
10280.00,24.00,3.60,12.00,0.00
10280.00,55.00,19.20,20.00,0.00
10280.00,75.00,6.20,30.00,0.00
10281.00,19.00,7.30,1.00,0.00
10281.00,24.00,3.60,6.00,0.00
10281.00,35.00,14.40,4.00,0.00
10282.00,30.00,20.70,6.00,0.00
10282.00,57.00,15.60,2.00,0.00
10283.00,15.00,12.40,20.00,0.00
10283.00,19.00,7.30,18.00,0.00
10283.00,60.00,27.20,35.00,0.00
10283.00,72.00,27.80,3.00,0.00
10284.00,27.00,35.10,15.00,0.25
10284.00,44.00,15.50,21.00,0.00
10284.00,60.00,27.20,20.00,0.25
10284.00,67.00,11.20,5.00,0.25
10285.00,1.00,14.40,45.00,0.20
10285.00,40.00,14.70,40.00,0.20
10285.00,53.00,26.20,36.00,0.20
10286.00,35.00,14.40,100.00,0.00
10286.00,62.00,39.40,40.00,0.00
10287.00,16.00,13.90,40.00,0.15
10287.00,34.00,11.20,20.00,0.00
10287.00,46.00,9.60,15.00,0.15
10288.00,54.00,5.90,10.00,0.10
10288.00,68.00,10.00,3.00,0.10
10289.00,3.00,8.00,30.00,0.00
10289.00,64.00,26.60,9.00,0.00
10290.00,5.00,17.00,20.00,0.00
10290.00,29.00,99.00,15.00,0.00
10290.00,49.00,16.00,15.00,0.00
10290.00,77.00,10.40,10.00,0.00
10291.00,13.00,4.80,20.00,0.10
10291.00,44.00,15.50,24.00,0.10
10291.00,51.00,42.40,2.00,0.10
10292.00,20.00,64.80,20.00,0.00
10293.00,18.00,50.00,12.00,0.00
10293.00,24.00,3.60,10.00,0.00
10293.00,63.00,35.10,5.00,0.00
10293.00,75.00,6.20,6.00,0.00
10294.00,1.00,14.40,18.00,0.00
10294.00,17.00,31.20,15.00,0.00
10294.00,43.00,36.80,15.00,0.00
10294.00,60.00,27.20,21.00,0.00
10294.00,75.00,6.20,6.00,0.00
10295.00,56.00,30.40,4.00,0.00
10296.00,11.00,16.80,12.00,0.00
10296.00,16.00,13.90,30.00,0.00
